timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/03/08 20:04:28.109,238,STEP5_/start,302,Found,Thread Group 1-1,text,true,,1131,2269,5,5,https://challenge.flood.io/start,238,0,0
2023/03/08 20:04:28.315,240,STEP5_/step/5,200,OK,Thread Group 1-2,text,true,,2158,1537,5,5,https://challenge.flood.io/step/5,240,0,0
2023/03/08 20:04:28.351,244,STEP5_/step/5,200,OK,Thread Group 1-1,text,true,,2153,1537,5,5,https://challenge.flood.io/step/5,244,0,0
2023/03/08 20:04:29.426,336,STEP2_/step/2,200,OK,Thread Group 1-5,text,true,,2418,1451,5,5,https://challenge.flood.io/step/2,335,0,0
2023/03/08 20:04:29.593,240,STEP3_/step/3,200,OK,Thread Group 1-4,text,true,,3021,1457,5,5,https://challenge.flood.io/step/3,239,0,0
2023/03/08 20:04:29.693,240,STEP4_/step/4,200,OK,Thread Group 1-3,text,true,,2051,1537,5,5,https://challenge.flood.io/step/4,240,0,0
2023/03/08 20:04:29.766,244,STEP3_/start,302,Found,Thread Group 1-5,text,true,,1131,1855,5,5,https://challenge.flood.io/start,244,0,0
2023/03/08 20:04:29.896,236,STEP4_/start,302,Found,Thread Group 1-4,text,true,,1131,2088,5,5,https://challenge.flood.io/start,236,0,0
2023/03/08 20:04:29.938,235,STEP5_/start,302,Found,Thread Group 1-3,text,true,,1131,2265,5,5,https://challenge.flood.io/start,235,0,0
2023/03/08 20:04:30.026,233,STEP5_/code,200,OK,Thread Group 1-2,text,true,,1079,1367,5,5,https://challenge.flood.io/code,233,0,0
2023/03/08 20:04:30.129,236,STEP5_/code,200,OK,Thread Group 1-1,text,true,,1079,1367,5,5,https://challenge.flood.io/code,236,0,0
2023/03/08 20:04:30.180,236,STEP5_/step/5,200,OK,Thread Group 1-3,text,true,,2157,1537,5,5,https://challenge.flood.io/step/5,235,0,0
2023/03/08 20:04:30.326,244,STEPDONE_/start,302,Found,Thread Group 1-2,text,true,,1131,1965,5,5,https://challenge.flood.io/start,244,0,0
2023/03/08 20:04:30.370,247,STEPDONE_/start,302,Found,Thread Group 1-1,text,true,,1131,1969,5,5,https://challenge.flood.io/start,247,0,0
2023/03/08 20:04:31.400,255,STEP3_/step/3,200,OK,Thread Group 1-5,text,true,,3030,1457,5,5,https://challenge.flood.io/step/3,254,0,0
2023/03/08 20:04:31.557,264,STEP4_/step/4,200,OK,Thread Group 1-4,text,true,,2047,1537,5,5,https://challenge.flood.io/step/4,263,0,0
2023/03/08 20:04:31.705,246,STEP4_/start,302,Found,Thread Group 1-5,text,true,,1131,2090,5,5,https://challenge.flood.io/start,246,0,0
2023/03/08 20:04:31.799,245,STEP5_/code,200,OK,Thread Group 1-3,text,true,,1079,1367,5,5,https://challenge.flood.io/code,245,0,0
2023/03/08 20:04:31.825,234,STEP5_/start,302,Found,Thread Group 1-4,text,true,,1131,2265,5,5,https://challenge.flood.io/start,234,0,0
2023/03/08 20:04:31.978,275,STEPDONE_/done,200,OK,Thread Group 1-2,text,true,,1960,1548,5,5,https://challenge.flood.io/done,275,0,0
2023/03/08 20:04:32.048,244,STEPDONE_/start,302,Found,Thread Group 1-3,text,true,,1131,1965,5,5,https://challenge.flood.io/start,244,0,0
2023/03/08 20:04:32.012,281,STEPDONE_/done,200,OK,Thread Group 1-1,text,true,,1960,1548,5,5,https://challenge.flood.io/done,280,0,0
2023/03/08 20:04:32.061,258,STEP5_/step/5,200,OK,Thread Group 1-4,text,true,,2156,1537,5,5,https://challenge.flood.io/step/5,258,0,0
2023/03/08 20:04:33.314,379,STEP4_/step/4,200,OK,Thread Group 1-5,text,true,,2048,1537,5,5,https://challenge.flood.io/step/4,378,0,0
2023/03/08 20:04:33.653,275,openStartPage_/,200,OK,Thread Group 1-1,text,true,,3223,696,5,5,https://challenge.flood.io/,275,0,0
2023/03/08 20:04:33.774,239,STEP5_/code,200,OK,Thread Group 1-4,text,true,,1079,1367,5,5,https://challenge.flood.io/code,239,0,0
